timeStep faceId meshDensityCounting-PID4 meshDensityCounting-PID7 meshDensityCounting-PID10 meshDensityCounting-PID13 meshDensityCounting-PID16
5 28 NA NA NA NA 11
5 29 NA NA NA NA 0
5 30 NA NA NA NA 20
5 31 NA NA NA NA 0
5 32 NA NA NA NA 21
5 33 NA NA NA NA 0
5 34 NA NA NA NA 22
5 35 NA NA NA NA 0
5 36 NA NA NA NA 24
5 37 NA NA NA NA 0
5 38 NA NA NA NA 0
5 39 NA NA NA NA 0
5 40 NA NA NA NA 0
5 41 NA NA NA NA 0
5 42 NA NA NA NA 0
5 43 NA NA NA NA 0
5 44 NA NA NA NA 0
5 45 NA NA NA NA 0
5 46 NA NA NA NA 0
5 47 NA NA NA NA 0
5 48 NA NA NA NA 0
5 49 NA NA NA NA 0
5 50 NA NA NA NA 0
5 51 NA NA NA NA 0
5 52 NA NA NA NA 0
5 53 NA NA NA NA 0
5 54 NA NA NA NA 0
5 55 NA NA NA NA 5
5 56 NA NA NA NA 20
5 57 NA NA NA NA 23
5 58 NA NA NA NA 25
5 59 NA NA NA NA 0
5 60 NA NA NA NA 24
5 61 NA NA NA NA 25
5 62 NA NA NA NA 26
5 63 NA NA NA NA 27
5 64 NA NA NA NA 30
5 65 NA NA NA NA 14
5 66 NA NA NA NA 23
5 67 NA NA NA NA 20
5 68 NA NA NA NA 31
5 69 NA NA NA NA 16
5 70 NA NA NA NA 31
5 71 NA NA NA NA 27
5 72 NA NA NA NA 21
5 73 NA NA NA NA 9
5 74 NA NA NA NA 21
5 75 NA NA NA NA 25
5 76 NA NA NA NA 27
5 77 NA NA NA NA 24
5 78 NA NA NA NA 16
5 79 NA NA NA NA 2
5 80 NA NA NA NA 12
6 1 12 20 0 0 8
6 2 13 10 0 0 26
6 3 12 13 0 0 0
6 4 11 12 0 0 23
6 5 12 12 0 0 32
6 6 10 7 0 0 23
6 7 8 11 0 0 0
6 8 5 9 0 0 22
6 9 15 14 0 0 28
6 10 10 14 0 0 20
6 11 3 11 0 0 24
6 12 9 13 0 0 25
6 13 4 8 1 0 22
6 14 11 11 0 0 5
6 15 6 13 0 0 4
6 16 3 11 0 0 0
6 17 10 9 0 0 18
6 18 11 14 0 0 0
6 19 NA NA NA NA 24
6 20 NA NA NA NA 0
6 21 NA NA NA NA 0
6 22 NA NA NA NA 0
6 23 NA NA NA NA 27
6 24 NA NA NA NA 26
6 25 NA NA NA NA 0
6 26 NA NA NA NA 0
6 27 NA NA NA NA 21
6 28 NA NA NA NA 10
6 29 NA NA NA NA 0
6 30 NA NA NA NA 22
6 31 NA NA NA NA 0
6 32 NA NA NA NA 22
6 33 NA NA NA NA 0
6 34 NA NA NA NA 28
6 35 NA NA NA NA 0
6 36 NA NA NA NA 26
6 37 NA NA NA NA 0
6 38 NA NA NA NA 0
